country,pop2019,births_2018,Deaths_2018
Albania,2862427,28934,21804
Australia,25200000,309142,158493
Austria,8858775,85535,83975
Belarus,9475174,94042,120053
Belgium,11467923,118319,110693
Bosnia-Herzegovina,3502550,29158,36336
Bulgaria,7000039,62197,108526
Canada,37411000,376291,276689
Croatia,4076246,36945,52706
Cyprus,875898,9328,5768
Czech Republic,10649800,114036,112920
Denmark,5806081,61476,55232
Estonia,1324820,14367,15751
Finland,5517919,47577,54527
France,67028048,758610,614138
Germany,83019213,787523,954874
Greece,10722287,86415,120314
Hungary,9772756,93467,131247
Iceland,356991,4228,2254
Ireland,4904226,60973,31116
Israel,8519000,184135,44434
Italy,60359546,439747,633133
Japan,126860000,918397,1362482
Kosovo,1795666,29154,10592
Latvia,1919968,19314,28820
Liechtenstein,38378,379,274
Lithuania,2794184,28149,39574
Luxembourg,613894,6274,4318
Macedonia,2077132,21333,19727
Malta,493559,4444,3688
Moldova,3547539,33831,36727
Montenegro,622182,7264,6504
Netherlands,17282163,167925,153249
New-Zealand,4800000,58020,33222
Norway,5328212,55120,40840
Poland,37972812,388178,414200
Portugal,10276617,87020,113000
Romania,19401658,187824,263125
Russia,145872000,1604344,1828910
Serbia,6963764,63975,101655
Slovakia,5450421,57639,54293
Slovenia,2080908,19585,20485
Spain,46934632,367374,423636
Sweden,10230185,115832,92185
Switzerland,8542323,85253,66654
Turkey ,82003882,1248847,426106
Ukraine,42153201,335874,587665
United Kingdom,66647112,731217,616021
United States ,329065000,3978497,2712630
